	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	dataset	prior	confidence+prior
14278	still,	SUBJ.subjective	145.0	4514.0	139.0	0.959	1.911	0.007	12.044	SUBJ	0.502	95.9 (50.2)
9933	regardless,	Cola.well-formed	24.0	6744.0	23.0	0.958	1.363	0.001	7.129	Cola	0.703	95.8 (70.3)
11999	for_instance	QQP.not-duplicate	1875.0	206126.0	1794.0	0.957	1.517	0.002	8.55	QQP	0.631	95.7 (63.1)
12000	suddenly,	QQP.not-duplicate	23.0	206126.0	22.0	0.957	1.517	0.0	8.496	QQP	0.631	95.7 (63.1)
13855	happily,	CR.positive	23.0	2151.0	22.0	0.957	1.508	0.002	8.415	CR	0.634	95.7 (63.4)
14279	honestly,	SUBJ.subjective	22.0	4514.0	21.0	0.955	1.903	0.001	10.965	SUBJ	0.502	95.5 (50.2)
5274	admittedly,	Formality.low	22.0	2111.0	21.0	0.955	1.843	0.002	10.603	Formality	0.518	95.5 (51.8)
12001	normally,	QQP.not-duplicate	110.0	206126.0	105.0	0.955	1.514	0.0	8.126	QQP	0.631	95.5 (63.1)
14280	altogether,	SUBJ.subjective	196.0	4514.0	187.0	0.954	1.902	0.01	10.854	SUBJ	0.502	95.4 (50.2)
13852	sadly,	CR.negative	21.0	1241.0	20.0	0.952	2.603	0.004	13.317	CR	0.366	95.2 (36.6)
5562	frankly,	Informativeness.low	21.0	2246.0	20.0	0.952	1.774	0.002	9.727	Informativeness	0.537	95.2 (53.7)
12002	traditionally,	QQP.not-duplicate	21.0	206126.0	20.0	0.952	1.51	0.0	7.757	QQP	0.631	95.2 (63.1)
12003	lastly,	QQP.not-duplicate	1820.0	206126.0	1730.0	0.951	1.507	0.002	7.47	QQP	0.631	95.1 (63.1)
14281	overall,	SUBJ.subjective	160.0	4514.0	152.0	0.95	1.894	0.008	9.968	SUBJ	0.502	95.0 (50.2)
5564	absolutely,	Informativeness.low	59.0	2246.0	56.0	0.949	1.768	0.006	9.109	Informativeness	0.537	94.9 (53.7)
12004	next,	QQP.not-duplicate	39.0	206126.0	37.0	0.949	1.504	0.0	7.203	QQP	0.631	94.9 (63.1)
5565	probably,	Informativeness.low	37.0	2246.0	35.0	0.946	1.762	0.004	8.569	Informativeness	0.537	94.6 (53.7)
12005	plus,	QQP.not-duplicate	1009.0	206126.0	953.0	0.944	1.498	0.001	6.655	QQP	0.631	94.4 (63.1)
13856	surprisingly,	CR.positive	72.0	2151.0	68.0	0.944	1.489	0.007	6.585	CR	0.634	94.4 (63.4)
12007	in_sum,	QQP.not-duplicate	54.0	206126.0	51.0	0.944	1.498	0.0	6.649	QQP	0.631	94.4 (63.1)
5278	absolutely,	Formality.low	54.0	2111.0	51.0	0.944	1.823	0.006	8.675	Formality	0.518	94.4 (51.8)
12008	for_example	QQP.not-duplicate	863.0	206126.0	815.0	0.944	1.498	0.001	6.641	QQP	0.631	94.4 (63.1)
5279	again,	Formality.low	70.0	2111.0	66.0	0.943	1.82	0.007	8.434	Formality	0.518	94.3 (51.8)
11434	as_a_result,	SST-2.negative	69.0	26831.0	65.0	0.942	2.128	0.001	9.614	SST-2	0.443	94.2 (44.3)
5276	meanwhile,	Formality.high	51.0	1964.0	48.0	0.941	1.953	0.006	8.807	Formality	0.482	94.1 (48.2)
13858	overall,	CR.positive	386.0	2151.0	363.0	0.94	1.483	0.035	6.14	CR	0.634	94.0 (63.4)
12009	unfortunately,	QQP.not-duplicate	49.0	206126.0	46.0	0.939	1.489	0.0	6.033	QQP	0.631	93.9 (63.1)
5280	or,	Formality.low	65.0	2111.0	61.0	0.938	1.812	0.007	7.832	Formality	0.518	93.8 (51.8)
14283	then,	SUBJ.objective	129.0	4485.0	121.0	0.938	1.882	0.006	8.088	SUBJ	0.498	93.8 (49.8)
12010	personally,	QQP.not-duplicate	560.0	206126.0	525.0	0.938	1.487	0.001	5.91	QQP	0.631	93.8 (63.1)
4750	seriously,	Verifiability.unverifiable	48.0	4459.0	45.0	0.938	1.334	0.002	4.758	Verifiability	0.703	93.8 (70.3)
12011	strangely,	QQP.not-duplicate	77.0	206126.0	72.0	0.935	1.483	0.0	5.688	QQP	0.631	93.5 (63.1)
5566	already,	Informativeness.high	61.0	1938.0	57.0	0.934	2.017	0.007	8.186	Informativeness	0.463	93.4 (46.3)
14284	technically,	SUBJ.subjective	61.0	4514.0	57.0	0.934	1.863	0.003	7.6	SUBJ	0.502	93.4 (50.2)
12012	previously,	QQP.not-duplicate	76.0	206126.0	71.0	0.934	1.481	0.0	5.614	QQP	0.631	93.4 (63.1)
11436	nonetheless	SST-2.positive	410.0	33784.0	383.0	0.934	1.676	0.003	6.722	SST-2	0.557	93.4 (55.7)
4751	therefore	Verifiability.unverifiable	106.0	4459.0	99.0	0.934	1.329	0.004	4.503	Verifiability	0.703	93.4 (70.3)
12013	originally,	QQP.not-duplicate	106.0	206126.0	99.0	0.934	1.481	0.0	5.593	QQP	0.631	93.4 (63.1)
5281	yet,	Formality.high	30.0	1964.0	28.0	0.933	1.937	0.003	7.771	Formality	0.482	93.3 (48.2)
5570	actually,	Informativeness.low	29.0	2246.0	27.0	0.931	1.734	0.003	6.716	Informativeness	0.537	93.1 (53.7)
12014	recently,	QQP.not-duplicate	623.0	206126.0	580.0	0.931	1.476	0.001	5.352	QQP	0.631	93.1 (63.1)
5283	and	Formality.low	57.0	2111.0	53.0	0.93	1.795	0.006	6.868	Formality	0.518	93.0 (51.8)
4753	honestly,	Verifiability.unverifiable	28.0	4459.0	26.0	0.929	1.322	0.001	4.163	Verifiability	0.703	92.9 (70.3)
14116	meanwhile,	SICKE.neutral	167.0	2818.0	155.0	0.928	1.647	0.012	6.073	SICKE	0.564	92.8 (56.4)
14285	arguably,	SUBJ.subjective	83.0	4514.0	77.0	0.928	1.849	0.004	6.894	SUBJ	0.502	92.8 (50.2)
11435	sadly,	SST-2.negative	612.0	26831.0	567.0	0.926	2.093	0.005	7.58	SST-2	0.443	92.6 (44.3)
5568	elsewhere,	Informativeness.high	27.0	1938.0	25.0	0.926	1.999	0.003	7.247	Informativeness	0.463	92.6 (46.3)
9934	undoubtedly,	Cola.well-formed	27.0	6744.0	25.0	0.926	1.317	0.001	4.01	Cola	0.703	92.6 (70.3)
12015	supposedly,	QQP.not-duplicate	80.0	206126.0	74.0	0.925	1.467	0.0	4.925	QQP	0.631	92.5 (63.1)
12016	currently,	QQP.not-duplicate	1448.0	206126.0	1339.0	0.925	1.466	0.001	4.907	QQP	0.631	92.5 (63.1)
6313	sadly,	EmoBankValence.low	39.0	3293.0	36.0	0.923	1.624	0.002	5.611	EmoBankV	0.568	92.3 (56.8)
14286	immediately,	SUBJ.objective	38.0	4485.0	35.0	0.921	1.848	0.002	6.354	SUBJ	0.498	92.1 (49.8)
12019	incidentally,	QQP.not-duplicate	249.0	206126.0	229.0	0.92	1.458	0.0	4.599	QQP	0.631	92.0 (63.1)
14287	naturally,	SUBJ.objective	62.0	4485.0	57.0	0.919	1.845	0.003	6.22	SUBJ	0.498	91.9 (49.8)
12020	presently,	QQP.not-duplicate	755.0	206126.0	691.0	0.915	1.451	0.001	4.357	QQP	0.631	91.5 (63.1)
13863	technically,	CR.positive	35.0	2151.0	32.0	0.914	1.442	0.003	4.268	CR	0.634	91.4 (63.4)
5576	or,	Informativeness.low	81.0	2246.0	74.0	0.914	1.702	0.007	5.36	Informativeness	0.537	91.4 (53.7)
4763	personally,	Verifiability.unverifiable	288.0	4459.0	263.0	0.913	1.3	0.01	3.426	Verifiability	0.703	91.3 (70.3)
4764	regardless,	Verifiability.unverifiable	46.0	4459.0	42.0	0.913	1.299	0.002	3.42	Verifiability	0.703	91.3 (70.3)
14288	surely,	SUBJ.subjective	23.0	4514.0	21.0	0.913	1.82	0.001	5.731	SUBJ	0.502	91.3 (50.2)
7348	inevitably,	EmoBankDominance.low	23.0	4411.0	21.0	0.913	1.488	0.001	4.445	EmoBankD	0.613	91.3 (61.3)
14289	nonetheless	SUBJ.subjective	79.0	4514.0	72.0	0.911	1.817	0.004	5.625	SUBJ	0.502	91.1 (50.2)
14290	really,	SUBJ.subjective	45.0	4514.0	41.0	0.911	1.816	0.002	5.607	SUBJ	0.502	91.1 (50.2)
5288	lately,	Formality.low	22.0	2111.0	20.0	0.909	1.755	0.002	5.302	Formality	0.518	90.9 (51.8)
5571	meanwhile,	Informativeness.high	44.0	1938.0	40.0	0.909	1.963	0.005	5.905	Informativeness	0.463	90.9 (46.3)
14292	by_comparison,	SUBJ.subjective	22.0	4514.0	20.0	0.909	1.812	0.001	5.482	SUBJ	0.502	90.9 (50.2)
12021	besides,	QQP.not-duplicate	282.0	206126.0	256.0	0.908	1.44	0.0	4.006	QQP	0.631	90.8 (63.1)
5572	by_contrast,	Informativeness.high	32.0	1938.0	29.0	0.906	1.957	0.003	5.726	Informativeness	0.463	90.6 (46.3)
5287	meantime,	Formality.high	53.0	1964.0	48.0	0.906	1.879	0.006	5.491	Formality	0.482	90.6 (48.2)
5573	additionally	Informativeness.high	21.0	1938.0	19.0	0.905	1.953	0.002	5.636	Informativeness	0.463	90.5 (46.3)
13865	plus,	CR.positive	105.0	2151.0	95.0	0.905	1.427	0.008	3.842	CR	0.634	90.5 (63.4)
5581	well,	Informativeness.low	52.0	2246.0	47.0	0.904	1.684	0.005	4.817	Informativeness	0.537	90.4 (53.7)
11437	nevertheless	SST-2.positive	62.0	33784.0	56.0	0.903	1.621	0.0	4.574	SST-2	0.557	90.3 (55.7)
14293	truly,	SUBJ.subjective	258.0	4514.0	233.0	0.903	1.8	0.012	5.143	SUBJ	0.502	90.3 (50.2)
14294	gradually,	SUBJ.objective	102.0	4485.0	92.0	0.902	1.81	0.005	5.116	SUBJ	0.498	90.2 (49.8)
14295	maybe,	SUBJ.objective	81.0	4485.0	73.0	0.901	1.808	0.004	5.079	SUBJ	0.498	90.1 (49.8)
6312	plus,	EmoBankValence.high	50.0	2501.0	45.0	0.9	2.085	0.004	5.683	EmoBankV	0.432	90.0 (43.2)
6812	originally,	EmoBankArousal.low	30.0	3169.0	27.0	0.9	1.748	0.002	4.851	EmoBankA	0.515	90.0 (51.5)
12718	surprisingly,	STAC.Question_answer_pair	79.0	2353.0	71.0	0.899	4.766	0.004	8.013	STAC	0.197	89.9 (19.7)
14117	elsewhere,	SICKE.neutral	852.0	2818.0	765.0	0.898	1.593	0.057	4.274	SICKE	0.564	89.8 (56.4)
12023	because_of_that	QQP.not-duplicate	29.0	206126.0	26.0	0.897	1.422	0.0	3.571	QQP	0.631	89.7 (63.1)
5577	ironically,	Informativeness.high	29.0	1938.0	26.0	0.897	1.936	0.003	5.189	Informativeness	0.463	89.7 (46.3)
5290	in_the_meantime,	Formality.low	58.0	2111.0	52.0	0.897	1.731	0.005	4.659	Formality	0.518	89.7 (51.8)
5289	still,	Formality.high	29.0	1964.0	26.0	0.897	1.86	0.003	5.008	Formality	0.482	89.7 (48.2)
14297	in_fact,	SUBJ.subjective	29.0	4514.0	26.0	0.897	1.787	0.001	4.818	SUBJ	0.502	89.7 (50.2)
11438	collectively,	SST-2.positive	47.0	33784.0	42.0	0.894	1.603	0.0	4.161	SST-2	0.557	89.4 (55.7)
12024	so,	QQP.not-duplicate	355.0	206126.0	317.0	0.893	1.416	0.0	3.451	QQP	0.631	89.3 (63.1)
5582	unfortunately,	Informativeness.low	28.0	2246.0	25.0	0.893	1.663	0.002	4.323	Informativeness	0.537	89.3 (53.7)
12025	coincidentally,	QQP.not-duplicate	139.0	206126.0	124.0	0.892	1.415	0.0	3.423	QQP	0.631	89.2 (63.1)
12026	because_of_this	QQP.not-duplicate	37.0	206126.0	33.0	0.892	1.414	0.0	3.417	QQP	0.631	89.2 (63.1)
6317	frankly,	EmoBankValence.low	37.0	3293.0	33.0	0.892	1.569	0.002	3.993	EmoBankV	0.568	89.2 (56.8)
4769	lastly,	Verifiability.unverifiable	37.0	4459.0	33.0	0.892	1.269	0.001	2.751	Verifiability	0.703	89.2 (70.3)
4770	ultimately,	Verifiability.unverifiable	46.0	4459.0	41.0	0.891	1.268	0.001	2.736	Verifiability	0.703	89.1 (70.3)
14298	seriously,	SUBJ.subjective	55.0	4514.0	49.0	0.891	1.776	0.002	4.569	SUBJ	0.502	89.1 (50.2)
12027	lately,	QQP.not-duplicate	400.0	206126.0	356.0	0.89	1.411	0.0	3.358	QQP	0.631	89.0 (63.1)
5579	indeed,	Informativeness.high	54.0	1938.0	48.0	0.889	1.919	0.005	4.831	Informativeness	0.463	88.9 (46.3)
5897	by_comparison,	Implicature.low	27.0	2231.0	24.0	0.889	1.669	0.002	4.207	Implicature	0.533	88.9 (53.3)
11440	fortunately,	SST-2.positive	27.0	33784.0	24.0	0.889	1.595	0.0	3.984	SST-2	0.557	88.9 (55.7)
4539	only,	Emergent.against	27.0	363.0	24.0	0.889	5.718	0.008	7.601	Emergent	0.155	88.9 (15.5)
12028	basically,	QQP.not-duplicate	393.0	206126.0	349.0	0.888	1.408	0.0	3.299	QQP	0.631	88.8 (63.1)
14299	happily,	SUBJ.subjective	141.0	4514.0	125.0	0.887	1.767	0.006	4.392	SUBJ	0.502	88.7 (50.2)
14300	thankfully,	SUBJ.subjective	35.0	4514.0	31.0	0.886	1.766	0.001	4.361	SUBJ	0.502	88.6 (50.2)
4771	clearly,	Verifiability.unverifiable	52.0	4459.0	46.0	0.885	1.259	0.001	2.577	Verifiability	0.703	88.5 (70.3)
13868	absolutely,	CR.positive	34.0	2151.0	30.0	0.882	1.391	0.002	3.11	CR	0.634	88.2 (63.4)
5587	so,	Informativeness.low	76.0	2246.0	67.0	0.882	1.642	0.006	3.911	Informativeness	0.537	88.2 (53.7)
12266	regardless,	QNLI.not_entailment	33.0	48313.0	29.0	0.879	1.756	0.0	4.121	QNLI	0.5	87.9 (50.0)
9939	admittedly,	Cola.well-formed	33.0	6744.0	29.0	0.879	1.25	0.001	2.451	Cola	0.703	87.9 (70.3)
14115	technically,	SICKE.contradiction	33.0	739.0	29.0	0.879	5.946	0.005	7.031	SICKE	0.148	87.9 (14.8)
14301	in_short,	SUBJ.subjective	107.0	4514.0	94.0	0.879	1.751	0.004	4.102	SUBJ	0.502	87.9 (50.2)
11441	happily,	SST-2.positive	402.0	33784.0	353.0	0.878	1.575	0.002	3.632	SST-2	0.557	87.8 (55.7)
12029	once,	QQP.not-duplicate	269.0	206126.0	236.0	0.877	1.391	0.0	3.011	QQP	0.631	87.7 (63.1)
9520	similarly,	MRPC.paraphrase	97.0	2753.0	85.0	0.876	1.297	0.005	2.624	MRPC	0.675	87.6 (67.5)
14302	in_sum,	SUBJ.subjective	105.0	4514.0	92.0	0.876	1.747	0.004	4.025	SUBJ	0.502	87.6 (50.2)
4774	really,	Verifiability.unverifiable	32.0	4459.0	28.0	0.875	1.245	0.001	2.379	Verifiability	0.703	87.5 (70.3)
13871	luckily,	CR.positive	32.0	2151.0	28.0	0.875	1.38	0.002	2.927	CR	0.634	87.5 (63.4)
4775	surely,	Verifiability.unverifiable	48.0	4459.0	42.0	0.875	1.245	0.001	2.379	Verifiability	0.703	87.5 (70.3)
4776	besides,	Verifiability.unverifiable	24.0	4459.0	21.0	0.875	1.245	0.001	2.379	Verifiability	0.703	87.5 (70.3)
12031	honestly,	QQP.not-duplicate	247.0	206126.0	216.0	0.874	1.387	0.0	2.943	QQP	0.631	87.4 (63.1)
5591	and	Informativeness.low	63.0	2246.0	55.0	0.873	1.626	0.005	3.648	Informativeness	0.537	87.3 (53.7)
4777	obviously,	Verifiability.unverifiable	55.0	4459.0	48.0	0.873	1.242	0.001	2.336	Verifiability	0.703	87.3 (70.3)
11443	regardless,	SST-2.positive	242.0	33784.0	211.0	0.872	1.564	0.001	3.455	SST-2	0.557	87.2 (55.7)
4778	rather,	Verifiability.unverifiable	39.0	4459.0	34.0	0.872	1.241	0.001	2.319	Verifiability	0.703	87.2 (70.3)
8311	undoubtedly,	PersuasivenessStrength.low	23.0	256.0	20.0	0.87	1.416	0.014	2.96	PersuasivenessStrength	1.0	87.0 (100.0)
7926	undoubtedly,	PersuasivenessSpecificity.low	23.0	306.0	20.0	0.87	1.608	0.013	3.522	PersuasivenessSpecificity	0.541	87.0 (54.1)
6323	inevitably,	EmoBankValence.low	23.0	3293.0	20.0	0.87	1.53	0.001	3.309	EmoBankV	0.568	87.0 (56.8)
5585	later,	Informativeness.high	53.0	1938.0	46.0	0.868	1.874	0.005	4.064	Informativeness	0.463	86.8 (46.3)
12032	secondly,	QQP.not-duplicate	2850.0	206126.0	2473.0	0.868	1.376	0.002	2.792	QQP	0.631	86.8 (63.1)
6316	hopefully,	EmoBankValence.high	30.0	2501.0	26.0	0.867	2.008	0.002	4.263	EmoBankV	0.432	86.7 (43.2)
12033	then,	QQP.not-duplicate	30.0	206126.0	26.0	0.867	1.374	0.0	2.77	QQP	0.631	86.7 (63.1)
12034	maybe,	QQP.not-duplicate	171.0	206126.0	148.0	0.865	1.372	0.0	2.746	QQP	0.631	86.5 (63.1)
14305	together,	SUBJ.objective	126.0	4485.0	109.0	0.865	1.736	0.005	3.718	SUBJ	0.498	86.5 (49.8)
4782	firstly,	Verifiability.unverifiable	29.0	4459.0	25.0	0.862	1.227	0.001	2.156	Verifiability	0.703	86.2 (70.3)
12035	admittedly,	QQP.not-duplicate	116.0	206126.0	100.0	0.862	1.367	0.0	2.678	QQP	0.631	86.2 (63.1)
11439	frankly,	SST-2.negative	635.0	26831.0	547.0	0.861	1.946	0.004	4.022	SST-2	0.443	86.1 (44.3)
4783	or,	Verifiability.unverifiable	78.0	4459.0	67.0	0.859	1.222	0.002	2.109	Verifiability	0.703	85.9 (70.3)
6815	anyway,	EmoBankArousal.high	28.0	2985.0	24.0	0.857	1.767	0.002	3.605	EmoBankA	0.485	85.7 (48.5)
8248	undoubtedly,	PersuasivenessPremiseType.common_knowledge	28.0	442.0	24.0	0.857	1.235	0.007	2.143	PersuasivenessPremiseType	1.0	85.7 (100.0)
11448	together,	SST-2.positive	123.0	33784.0	105.0	0.854	1.532	0.001	3.025	SST-2	0.557	85.4 (55.7)
12038	also,	QQP.not-duplicate	37181.0	206126.0	31737.0	0.854	1.354	0.025	2.523	QQP	0.631	85.4 (63.1)
14308	now,	SUBJ.objective	108.0	4485.0	92.0	0.852	1.709	0.004	3.386	SUBJ	0.498	85.2 (49.8)
12268	thirdly,	QNLI.not_entailment	27.0	48313.0	23.0	0.852	1.702	0.0	3.372	QNLI	0.5	85.2 (50.0)
4787	in_sum,	Verifiability.unverifiable	27.0	4459.0	23.0	0.852	1.212	0.001	2.007	Verifiability	0.703	85.2 (70.3)
12040	again,	QQP.not-duplicate	47.0	206126.0	40.0	0.851	1.35	0.0	2.48	QQP	0.631	85.1 (63.1)
5592	meantime,	Informativeness.high	47.0	1938.0	40.0	0.851	1.837	0.004	3.604	Informativeness	0.463	85.1 (46.3)
11449	undoubtedly,	SST-2.positive	248.0	33784.0	211.0	0.851	1.527	0.001	2.967	SST-2	0.557	85.1 (55.7)
12041	first,	QQP.not-duplicate	127.0	206126.0	108.0	0.85	1.348	0.0	2.469	QQP	0.631	85.0 (63.1)
12042	now,	QQP.not-duplicate	147.0	206126.0	125.0	0.85	1.348	0.0	2.468	QQP	0.631	85.0 (63.1)
14309	certainly,	SUBJ.subjective	40.0	4514.0	34.0	0.85	1.695	0.002	3.323	SUBJ	0.502	85.0 (50.2)
14310	indeed,	SUBJ.subjective	73.0	4514.0	62.0	0.849	1.693	0.003	3.307	SUBJ	0.502	84.9 (50.2)
12043	surely,	QQP.not-duplicate	225.0	206126.0	191.0	0.849	1.346	0.0	2.444	QQP	0.631	84.9 (63.1)
14311	surprisingly,	SUBJ.subjective	33.0	4514.0	28.0	0.848	1.692	0.001	3.289	SUBJ	0.502	84.8 (50.2)
12044	apparently,	QQP.not-duplicate	99.0	206126.0	84.0	0.848	1.345	0.0	2.438	QQP	0.631	84.8 (63.1)
4788	also,	Verifiability.unverifiable	52.0	4459.0	44.0	0.846	1.204	0.001	1.933	Verifiability	0.703	84.6 (70.3)
12045	certainly,	QQP.not-duplicate	26.0	206126.0	22.0	0.846	1.342	0.0	2.401	QQP	0.631	84.6 (63.1)
12046	frequently,	QQP.not-duplicate	26.0	206126.0	22.0	0.846	1.342	0.0	2.401	QQP	0.631	84.6 (63.1)
